snd   11046.863  D     7201  100   155  
rcv   11096.017  A     155   0     7301 
snd   11098.501  D     7301  100   155  
rcv   11147.080  A     155   0     7401 
snd   11151.323  D     7401  100   155  
rcv   11198.303  A     155   0     7501 
drop  11204.198  D     7501  100   155  
snd   11450.548  D     7501  100   155  
rcv   11500.081  A     155   0     7601 
drop  11502.287  D     7601  100   155  
snd   11752.115  D     7601  100   155  
rcv   11801.801  A     155   0     7701 
snd   11804.039  D     7701  100   155  
rcv   11852.840  A     155   0     7801 
snd   11855.758  D     7801  100   155  
rcv   11904.006  A     155   0     7901 
snd   11907.749  D     7901  100   155  
rcv   11955.067  A     155   0     8001 
drop  11959.414  D     8001  100   155  
snd   12207.181  D     8001  100   155  
rcv   12256.995  A     155   0     8101 
snd   12259.753  D     8101  100   155  
rcv   12308.044  A     155   0     8201 
drop  12311.693  D     8201  100   155  
snd   12560.021  D     8201  100   155  
rcv   12609.876  A     155   0     8301 
drop  12611.593  D     8301  100   155  
snd   12861.634  D     8301  100   155  
rcv   12911.518  A     155   0     8401 
drop  12914.538  D     8401  100   155  
snd   13163.524  D     8401  100   155  
rcv   13213.435  A     155   0     8501 
snd   13219.570  D     8501  100   155  
rcv   13264.694  A     155   0     8601 
drop  13271.544  D     8601  100   155  
snd   13516.813  D     8601  100   155  
rcv   13566.585  A     155   0     8701 
snd   13569.234  D     8701  100   155  
rcv   13617.524  A     155   0     8801 
drop  13622.300  D     8801  100   155  
snd   13870.032  D     8801  100   155  
rcv   13919.523  A     155   0     8901 
snd   13921.630  D     8901  100   155  
rcv   13970.543  A     155   0     9001 
drop  13973.045  D     9001  100   155  
snd   14223.047  D     9001  100   155  
rcv   14272.970  A     155   0     9101 
drop  14274.461  D     9101  100   155  
snd   14525.178  D     9101  100   155  
rcv   14574.958  A     155   0     9201 
snd   14581.343  D     9201  100   155  
rcv   14626.523  A     155   0     9301 
drop  14636.355  D     9301  100   155  
snd   14878.179  D     9301  100   155  
rcv   14927.987  A     155   0     9401 
drop  14933.649  D     9401  100   155  
snd   15184.364  D     9401  100   155  
rcv   15234.187  A     155   0     9501 
snd   15237.648  D     9501  100   155  
rcv   15287.049  A     155   0     9601 
snd   15290.744  D     9601  100   155  
rcv   15337.727  A     155   0     9701 
drop  15342.899  D     9701  100   155  
snd   15589.364  D     9701  100   155  
rcv   15638.978  A     155   0     9801 
snd   15640.885  D     9801  100   155  
rcv   15690.033  A     155   0     9901 
snd   15692.253  D     9901  100   155  
rcv   15740.902  A     155   0     10001
drop  15743.058  D     10001 100   155  
snd   15992.302  D     10001 100   155  
rcv   16042.132  A     155   0     10101
drop  16044.978  D     10101 100   155  
snd   16294.085  D     10101 100   155  
rcv   16343.693  A     155   0     10201
drop  16348.247  D     10201 100   155  
snd   16595.762  D     10201 100   155  
rcv   16645.634  A     155   0     10301
drop  16650.146  D     10301 100   155  
snd   16900.901  D     10301 100   155  
rcv   16950.846  A     155   0     10401
drop  16962.565  D     10401 100   155  
snd   17212.151  D     10401 100   155  
rcv   17262.107  A     155   0     10501
drop  17262.660  D     10501 100   155  
snd   17513.707  D     10501 100   155  
rcv   17563.351  A     155   0     10601
drop  17567.088  D     10601 100   155  
snd   17814.356  D     10601 100   155  
rcv   17864.401  A     155   0     10701
snd   17865.178  D     10701 100   155  
rcv   17914.966  A     155   0     10801
snd   17916.639  D     10801 100   155  
rcv   17965.378  A     155   0     10901
snd   17967.304  D     10901 100   155  
rcv   18015.804  A     155   0     11001
snd   18018.323  D     11001 100   155  
rcv   18066.219  A     155   0     11101
snd   18069.087  D     11101 100   155  
rcv   18116.683  A     155   0     11201
snd   18119.815  D     11201 100   155  
rcv   18167.147  A     155   0     11301
snd   18170.330  D     11301 100   155  
rcv   18217.826  A     155   0     11401
snd   18220.861  D     11401 100   155  
rcv   18268.590  A     155   0     11501
snd   18271.356  D     11501 100   155  
rcv   18318.955  A     155   0     11601
snd   18322.038  D     11601 100   155  
rcv   18369.501  A     155   0     11701
drop  18375.791  D     11701 100   155  
snd   18621.770  D     11701 100   155  
rcv   18671.487  A     155   0     11801
snd   18673.171  D     11801 100   155  
rcv   18722.141  A     155   0     11901
snd   18724.658  D     11901 100   155  
rcv   18772.412  A     155   0     12001
drop  18775.019  D     12001 100   155  
snd   19023.685  D     12001 100   155  
rcv   19073.631  A     155   0     12101
drop  19076.958  D     12101 100   155  
snd   19327.500  D     12101 100   155  
rcv   19377.466  A     155   0     12201
snd   19382.833  D     12201 100   155  
rcv   19432.364  A     155   0     12301
snd   19443.731  D     12301 100   155  
rcv   19483.500  A     155   0     12401
drop  19494.313  D     12401 100   155  
snd   19735.252  D     12401 100   155  
rcv   19784.864  A     155   0     12501
drop  19787.084  D     12501 100   155  
snd   20036.890  D     12501 100   155  
rcv   20086.590  A     155   0     12601
drop  20089.164  D     12601 100   155  
snd   20338.607  D     12601 100   155  
rcv   20388.563  A     155   0     12701
snd   20390.956  D     12701 100   155  
rcv   20439.757  A     155   0     12801
drop  20442.049  D     12801 100   155  
snd   20691.707  D     12801 100   155  
rcv   20741.598  A     155   0     12901
snd   20746.866  D     12901 100   155  
rcv   20797.462  A     155   0     13001
drop  20801.162  D     13001 100   155  
snd   21052.085  D     13001 100   155  
rcv   21101.858  A     155   0     13101
drop  21111.765  D     13101 100   155  
snd   21356.958  D     13101 100   155  
rcv   21406.965  A     155   0     13201
snd   21409.380  D     13201 100   155  
rcv   21458.836  A     155   0     13301
drop  21460.888  D     13301 100   155  
snd   21711.069  D     13301 100   155  
rcv   21761.254  A     155   0     13401
drop  21762.455  D     13401 100   155  
snd   22013.167  D     13401 100   155  
rcv   22063.109  A     155   0     13501
drop  22064.546  D     13501 100   155  
snd   22315.011  D     13501 100   155  
rcv   22364.862  A     155   0     13601
drop  22367.346  D     13601 100   155  
snd   22616.977  D     13601 100   155  
rcv   22666.590  A     155   0     13701
snd   22669.678  D     13701 100   155  
rcv   22717.531  A     155   0     13801
drop  22721.465  D     13801 100   155  
snd   22969.902  D     13801 100   155  
rcv   23019.315  A     155   0     13901
drop  23021.274  D     13901 100   155  
snd   23271.142  D     13901 100   155  
rcv   23320.873  A     155   0     14001
drop  23322.400  D     14001 100   155  
snd   23574.455  D     14001 100   155  
rcv   23622.484  A     155   0     14101
drop  23626.473  D     14101 100   155  
snd   23875.407  D     14101 100   155  
rcv   23925.557  A     155   0     14201
drop  23926.712  D     14201 100   155  
snd   24177.354  D     14201 100   155  
rcv   24227.223  A     155   0     14301
snd   24229.423  D     14301 100   155  
rcv   24278.279  A     155   0     14401
snd   24280.512  D     14401 100   155  
rcv   24329.177  A     155   0     14501
snd   24331.987  D     14501 100   155  
rcv   24380.137  A     155   0     14601
snd   24384.194  D     14601 100   155  
rcv   24431.363  A     155   0     14701
snd   24435.632  D     14701 100   155  
rcv   24482.436  A     155   0     14801
snd   24486.800  D     14801 100   155  
rcv   24533.183  A     155   0     14901
snd   24537.888  D     14901 100   155  
rcv   24584.133  A     155   0     15001
drop  24591.303  D     15001 100   155  
snd   24835.502  D     15001 100   155  
rcv   24885.681  A     155   0     15101
snd   24886.019  D     15101 100   155  
rcv   24936.151  A     155   0     15201
drop  24937.351  D     15201 100   155  
snd   25187.875  D     15201 100   155  
rcv   25237.845  A     155   0     15301
snd   25239.071  D     15301 100   155  
rcv   25288.745  A     155   0     15401
snd   25289.765  D     15401 100   155  
rcv   25339.110  A     155   0     15501
snd   25340.254  D     15501 100   155  
rcv   25389.434  A     155   0     15601
snd   25391.040  D     15601 100   155  
rcv   25439.873  A     155   0     15701
snd   25441.847  D     15701 100   155  
rcv   25490.231  A     155   0     15801
snd   25493.991  D     15801 100   155  
rcv   25540.478  A     155   0     15901
drop  25544.284  D     15901 100   155  
snd   25791.527  D     15901 100   155  
rcv   25841.485  A     155   0     16001
drop  25844.082  D     16001 100   155  
snd   26094.581  D     16001 100   155  
