snd   8398.914   A     155   0     6801 
rcv   8448.724   D     6801  100   155  
snd   8449.263   A     155   0     6901 
rcv   8500.469   D     6901  100   155  
snd   8500.848   A     155   0     7001 
rcv   8501.169   D     7001  100   155  
snd   8501.428   A     155   0     7101 
rcv   8551.726   D     7001  100   155  
rcv   8603.387   D     7101  100   155  
snd   8604.649   A     155   0     7201 
rcv   8605.104   D     7201  100   155  
snd   8605.527   A     155   0     7301 
rcv   8655.495   D     7201  100   155  
rcv   8657.957   D     7301  100   155  
snd   8658.479   A     155   0     7401 
rcv   8710.087   D     7301  100   155  
rcv   8712.213   D     7401  100   155  
snd   8713.523   A     155   0     7501 
rcv   8763.314   D     7401  100   155  
rcv   8815.659   D     7501  100   155  
snd   8817.232   A     155   0     7601 
rcv   8869.126   D     7601  100   155  
snd   8869.779   A     155   0     7701 
rcv   8870.683   D     7701  100   155  
snd   8871.062   A     155   0     7801 
rcv   8921.344   D     7701  100   155  
rcv   8923.177   D     7801  100   155  
snd   8923.720   A     155   0     7901 
rcv   8973.669   D     7801  100   155  
rcv   8978.874   D     7901  100   155  
snd   8979.346   A     155   0     8001 
rcv   9026.415   D     7901  100   155  
rcv   9078.856   D     8001  100   155  
snd   9079.662   A     155   0     8101 
rcv   9081.191   D     8101  100   155  
snd   9081.692   A     155   0     8201 
rcv   9131.441   D     8101  100   155  
rcv   9183.927   D     8201  100   155  
snd   9184.510   A     155   0     8301 
rcv   9236.368   D     8301  100   155  
snd   9237.859   A     155   0     8401 
rcv   9288.524   D     8401  100   155  
snd   9288.996   A     155   0     8501 
rcv   9294.265   D     8501  100   155  
snd   9294.666   A     155   0     8601 
rcv   9344.581   D     8501  100   155  
rcv   9396.176   D     8601  100   155  
snd   9396.515   A     155   0     8701 
rcv   9397.836   D     8701  100   155  
snd   9398.144   A     155   0     8801 
rcv   9448.707   D     8701  100   155  
rcv   9500.336   D     8801  100   155  
snd   9500.891   A     155   0     8901 
rcv   9502.241   D     8901  100   155  
snd   9503.357   A     155   0     9001 
rcv   9553.081   D     8901  100   155  
rcv   9605.960   D     9001  100   155  
snd   9607.361   A     155   0     9101 
rcv   9661.259   D     9101  100   155  
snd   9661.954   A     155   0     9201 
rcv   9662.437   D     9201  100   155  
snd   9662.869   A     155   0     9301 
rcv   9713.965   D     9201  100   155  
rcv   9767.096   D     9301  100   155  
snd   9768.053   A     155   0     9401 
rcv   9821.698   D     9401  100   155  
snd   9822.301   A     155   0     9501 
rcv   9823.621   D     9501  100   155  
snd   9824.238   A     155   0     9601 
rcv   9874.507   D     9501  100   155  
rcv   9877.354   D     9601  100   155  
snd   9878.052   A     155   0     9701 
rcv   9927.807   D     9601  100   155  
rcv   9983.376   D     9701  100   155  
snd   9984.259   A     155   0     9801 
rcv   9984.701   D     9801  100   155  
snd   9985.031   A     155   0     9901 
rcv   10034.628  D     9801  100   155  
rcv   10037.188  D     9901  100   155  
snd   10038.217  A     155   0     10001
rcv   10086.879  D     9901  100   155  
rcv   10140.940  D     10001 100   155  
snd   10141.316  A     155   0     10101
rcv   10192.787  D     10101 100   155  
snd   10193.618  A     155   0     10201
rcv   10244.764  D     10201 100   155  
snd   10245.759  A     155   0     10301
rcv   10296.449  D     10301 100   155  
snd   10297.151  A     155   0     10401
rcv   10349.475  D     10401 100   155  
snd   10351.671  A     155   0     10501
rcv   10403.296  D     10501 100   155  
snd   10404.304  A     155   0     10601
rcv   10457.710  D     10601 100   155  
snd   10464.833  A     155   0     10701
rcv   10465.791  D     10701 100   155  
snd   10466.615  A     155   0     10801
rcv   10513.593  D     10701 100   155  
rcv   10516.240  D     10801 100   155  
snd   10516.775  A     155   0     10901
rcv   10568.034  D     10801 100   155  
rcv   10569.257  D     10901 100   155  
snd   10569.771  A     155   0     11001
rcv   10619.812  D     10901 100   155  
rcv   10621.554  D     11001 100   155  
snd   10622.139  A     155   0     11101
rcv   10672.194  D     11001 100   155  
rcv   10673.532  D     11101 100   155  
snd   10673.898  A     155   0     11201
rcv   10724.387  D     11101 100   155  
rcv   10726.174  D     11201 100   155  
snd   10726.584  A     155   0     11301
rcv   10776.636  D     11201 100   155  
rcv   10778.244  D     11301 100   155  
snd   10778.632  A     155   0     11401
rcv   10828.874  D     11301 100   155  
rcv   10830.278  D     11401 100   155  
snd   10830.606  A     155   0     11501
rcv   10880.813  D     11401 100   155  
rcv   10885.273  D     11501 100   155  
snd   10885.642  A     155   0     11601
rcv   10937.062  D     11601 100   155  
snd   10937.502  A     155   0     11701
rcv   12039.265  D     11701 100   155  
snd   12040.322  A     155   0     11801
rcv   12041.053  D     11801 100   155  
snd   12041.853  A     155   0     11901
rcv   12091.521  D     11801 100   155  
rcv   12093.428  D     11901 100   155  
snd   12094.641  A     155   0     12001
rcv   12145.564  D     11901 100   155  
rcv   12198.218  D     12001 100   155  
snd   12198.620  A     155   0     12101
rcv   12249.064  D     12101 100   155  
snd   12249.503  A     155   0     12201
rcv   12249.973  D     12201 100   155  
snd   12250.317  A     155   0     12301
rcv   12300.905  D     12201 100   155  
rcv   12303.301  D     12301 100   155  
snd   12304.161  A     155   0     12401
rcv   12351.793  D     12301 100   155  
rcv   12402.602  D     12401 100   155  
snd   12403.065  A     155   0     12501
rcv   12453.515  D     12501 100   155  
snd   12453.836  A     155   0     12601
rcv   12504.375  D     12601 100   155  
snd   12505.010  A     155   0     12701
rcv   12507.172  D     12701 100   155  
snd   12507.549  A     155   0     12801
rcv   12561.760  D     12701 100   155  
rcv   12616.923  D     12801 100   155  
snd   12617.601  A     155   0     12901
rcv   12617.800  D     12901 100   155  
snd   12617.943  A     155   0     13001
rcv   12667.523  D     12901 100   155  
rcv   12718.171  D     13001 100   155  
snd   12718.380  A     155   0     13101
rcv   12768.892  D     13101 100   155  
snd   12769.149  A     155   0     13201
rcv   12770.391  D     13201 100   155  
snd   12770.668  A     155   0     13301
rcv   12819.828  D     13201 100   155  
rcv   12873.198  D     13301 100   155  
snd   12873.695  A     155   0     13401
rcv   12922.669  D     13401 100   155  
snd   12923.249  A     155   0     13501
rcv   12973.796  D     13501 100   155  
snd   12974.156  A     155   0     13601
rcv   13025.047  D     13601 100   155  
snd   13025.988  A     155   0     13701
rcv   13026.329  D     13701 100   155  
snd   13026.562  A     155   0     13801
rcv   13076.283  D     13701 100   155  
rcv   13127.261  D     13801 100   155  
snd   13127.864  A     155   0     13901
rcv   13178.140  D     13901 100   155  
snd   13178.663  A     155   0     14001
rcv   13229.307  D     14001 100   155  
snd   13229.646  A     155   0     14101
rcv   13281.502  D     14101 100   155  
snd   13282.090  A     155   0     14201
rcv   13332.934  D     14201 100   155  
snd   13334.642  A     155   0     14301
rcv   13337.544  D     14301 100   155  
snd   13338.426  A     155   0     14401
rcv   13385.836  D     14301 100   155  
rcv   13386.764  D     14401 100   155  
snd   13387.104  A     155   0     14501
rcv   13437.298  D     14401 100   155  
rcv   13438.383  D     14501 100   155  
snd   13438.706  A     155   0     14601
rcv   13488.464  D     14501 100   155  
rcv   13489.200  D     14601 100   155  
snd   13489.461  A     155   0     14701
rcv   13539.937  D     14601 100   155  
rcv   13541.631  D     14701 100   155  
snd   13542.066  A     155   0     14801
rcv   13592.140  D     14701 100   155  
rcv   13593.074  D     14801 100   155  
snd   13594.365  A     155   0     14901
rcv   13643.770  D     14801 100   155  
rcv   13655.865  D     14901 100   155  
snd   13656.765  A     155   0     15001
rcv   13716.914  D     14901 100   155  
rcv   13760.191  D     15001 100   155  
snd   13763.311  A     155   0     15101
rcv   13763.960  D     15101 100   155  
snd   13766.464  A     155   0     15201
rcv   13812.516  D     15101 100   155  
rcv   13863.521  D     15201 100   155  
snd   13865.333  A     155   0     15301
rcv   13865.671  D     15301 100   155  
snd   13865.891  A     155   0     15401
rcv   13914.859  D     15301 100   155  
rcv   13916.995  D     15401 100   155  
snd   13917.278  A     155   0     15501
rcv   13967.376  D     15401 100   155  
rcv   13969.251  D     15501 100   155  
snd   13969.498  A     155   0     15601
rcv   14018.850  D     15501 100   155  
rcv   14019.734  D     15601 100   155  
snd   14019.962  A     155   0     15701
rcv   14070.211  D     15601 100   155  
rcv   14073.042  D     15701 100   155  
snd   14073.401  A     155   0     15801
rcv   14123.419  D     15701 100   155  
rcv   14124.362  D     15801 100   155  
snd   14124.689  A     155   0     15901
rcv   14174.675  D     15801 100   155  
rcv   14225.958  D     15901 100   155  
snd   14227.377  A     155   0     16001
rcv   14279.018  D     16001 100   155  
snd   14281.500  A     155   0     16101
rcv   14282.453  D     16101 100   155  
snd   14283.067  A     155   0     16201
rcv   14332.635  D     16101 100   155  
rcv   14336.320  D     16201 100   155  
snd   14337.921  A     155   0     16301
rcv   14386.440  D     16201 100   155  
rcv   14387.612  D     16301 100   155  
snd   14388.205  A     155   0     16401
rcv   14437.978  D     16301 100   155  
rcv   14489.197  D     16401 100   155  
snd   14489.653  A     155   0     16501
rcv   14540.596  D     16501 100   155  
snd   14541.016  A     155   0     16601
rcv   14592.208  D     16601 100   155  
snd   14593.156  A     155   0     16701
rcv   14593.618  D     16701 100   155  
snd   14594.781  A     155   0     16801
rcv   14645.349  D     16701 100   155  
rcv   14698.242  D     16801 100   155  
snd   14699.399  A     155   0     16901
rcv   14701.833  D     16901 100   155  
snd   14703.321  A     155   0     17001
rcv   14754.565  D     16901 100   155  
rcv   14754.942  D     17001 100   155  
snd   14755.310  A     155   0     17101
rcv   14804.424  D     17001 100   155  
rcv   14807.514  D     17101 100   155  
snd   14807.761  A     155   0     17201
rcv   14856.100  D     17101 100   155  
rcv   14907.319  D     17201 100   155  
snd   14907.707  A     155   0     17301
rcv   14908.823  D     17301 100   155  
snd   14909.129  A     155   0     17401
rcv   14963.643  D     17301 100   155  
rcv   14966.831  D     17401 100   155  
snd   14968.589  A     155   0     17501
rcv   15013.758  D     17401 100   155  
rcv   15070.960  D     17501 100   155  
snd   15073.575  A     155   0     17601
rcv   15125.263  D     17601 100   155  
snd   15126.085  A     155   0     17701
rcv   15178.104  D     17701 100   155  
snd   15178.353  A     155   0     17801
rcv   15229.616  D     17801 100   155  
snd   15231.042  A     155   0     17901
rcv   15284.818  D     17901 100   155  
snd   15290.638  A     155   0     18001
rcv   15292.419  D     18001 100   155  
snd   15293.438  A     155   0     18101
rcv   15339.869  D     18001 100   155  
rcv   15392.260  D     18101 100   155  
snd   15393.028  A     155   0     18201
rcv   15443.398  D     18201 100   155  
snd   15443.872  A     155   0     18301
rcv   15444.786  D     18301 100   155  
snd   15445.038  A     155   0     18401
rcv   15495.359  D     18301 100   155  
rcv   15548.606  D     18401 100   155  
snd   15549.461  A     155   0     18501
rcv   15552.836  D     18501 100   155  
snd   15553.593  A     155   0     18601
rcv   15604.342  D     18501 100   155  
rcv   15607.557  D     18601 100   155  
snd   15610.059  A     155   0     18701
rcv   15658.090  D     18601 100   155  
rcv   15662.135  D     18701 100   155  
snd   15663.639  A     155   0     18801
rcv   15712.456  D     18701 100   155  
rcv   15713.576  D     18801 100   155  
snd   15713.909  A     155   0     18901
rcv   15763.986  D     18801 100   155  
rcv   15765.183  D     18901 100   155  
snd   15765.685  A     155   0     19001
rcv   15817.182  D     18901 100   155  
rcv   15868.185  D     19001 100   155  
snd   15868.723  A     155   0     19101
rcv   15868.972  D     19101 100   155  
snd   15869.262  A     155   0     19201
rcv   15917.845  D     19101 100   155  
rcv   15918.661  D     19201 100   155  
snd   15919.185  A     155   0     19301
rcv   15968.705  D     19201 100   155  
rcv   15969.789  D     19301 100   155  
snd   15970.558  A     155   0     19401
rcv   16019.688  D     19301 100   155  
rcv   16020.419  D     19401 100   155  
snd   16020.609  A     155   0     19501
rcv   16070.801  D     19401 100   155  
rcv   16071.403  D     19501 100   155  
snd   16071.580  A     155   0     19601
rcv   16121.706  D     19501 100   155  
rcv   16173.444  D     19601 100   155  
snd   16173.889  A     155   0     19701
rcv   16225.230  D     19701 100   155  
snd   16225.946  A     155   0     19801
rcv   16276.420  D     19801 100   155  
snd   16276.625  A     155   0     19901
rcv   16327.563  D     19901 100   155  
snd   16328.891  A     155   0     20001
rcv   16329.628  D     20001 100   155  
snd   16330.209  A     155   0     20101
rcv   16378.426  D     20001 100   155  
rcv   16429.489  D     20101 100   155  
snd   16430.668  A     155   0     20201
rcv   16431.039  D     20201 100   155  
snd   16431.221  A     155   0     20301
rcv   16481.369  D     20201 100   155  
rcv   16482.775  D     20301 100   155  
snd   16483.179  A     155   0     20401
rcv   16533.731  D     20301 100   155  
rcv   16585.692  D     20401 100   155  
snd   16586.304  A     155   0     20501
rcv   16637.057  D     20501 100   155  
snd   16637.573  A     155   0     20601
rcv   16637.728  D     20601 100   155  
snd   16637.818  A     155   0     20701
rcv   16688.566  D     20701 100   155  
snd   16688.760  A     155   0     20801
rcv   16738.927  D     20801 100   155  
snd   16739.173  A     155   0     20901
rcv   17841.354  D     20901 100   155  
snd   17842.104  A     155   0     21001
rcv   17893.412  D     21001 100   155  
snd   17894.242  A     155   0     21101
rcv   17945.625  D     21101 100   155  
snd   17946.082  A     155   0     21201
rcv   17997.344  D     21201 100   155  
snd   17997.601  A     155   0     21301
rcv   17997.731  D     21301 100   155  
snd   17997.835  A     155   0     21401
rcv   18047.719  D     21301 100   155  
rcv   18098.263  D     21401 100   155  
snd   18098.493  A     155   0     21501
rcv   18149.081  D     21501 100   155  
snd   18149.569  A     155   0     21601
rcv   18201.274  D     21601 100   155  
snd   18206.520  A     155   0     21701
rcv   18252.873  D     21701 100   155  
snd   18255.370  A     155   0     21801
rcv   18256.043  D     21801 100   155  
snd   18256.580  A     155   0     21901
rcv   18304.360  D     21801 100   155  
rcv   18304.777  D     21901 100   155  
snd   18304.983  A     155   0     22001
rcv   18355.192  D     21901 100   155  
rcv   18405.840  D     22001 100   155  
snd   18406.294  A     155   0     22101
rcv   18456.534  D     22101 100   155  
snd   18456.809  A     155   0     22201
rcv   18456.967  D     22201 100   155  
snd   18457.180  A     155   0     22301
rcv   18507.283  D     22201 100   155  
rcv   18507.780  D     22301 100   155  
snd   18508.020  A     155   0     22401
rcv   18558.158  D     22301 100   155  
rcv   18609.964  D     22401 100   155  
snd   18610.328  A     155   0     22501
rcv   18660.012  D     22501 100   155  
snd   18660.882  A     155   0     22601
rcv   18662.602  D     22601 100   155  
snd   18662.893  A     155   0     22701
rcv   18713.243  D     22601 100   155  
rcv   18764.778  D     22701 100   155  
snd   18765.056  A     155   0     22801
rcv   18814.779  D     22801 100   155  
snd   18815.084  A     155   0     22901
rcv   18865.354  D     22901 100   155  
snd   18866.168  A     155   0     23001
rcv   18866.548  D     23001 100   155  
snd   18866.757  A     155   0     23101
rcv   18917.297  D     23001 100   155  
rcv   18930.732  D     23101 100   155  
snd   18931.624  A     155   0     23201
rcv   18981.342  D     23101 100   155  
rcv   19033.360  D     23201 100   155  
snd   19033.617  A     155   0     23301
rcv   19084.189  D     23301 100   155  
snd   19084.516  A     155   0     23401
rcv   19084.734  D     23401 100   155  
snd   19084.892  A     155   0     23501
rcv   19134.963  D     23401 100   155  
rcv   19187.561  D     23501 100   155  
snd   19187.797  A     155   0     23601
rcv   19188.711  D     23601 100   155  
snd   19189.084  A     155   0     23701
rcv   19239.046  D     23601 100   155  
rcv   19239.457  D     23701 100   155  
snd   19239.622  A     155   0     23801
rcv   19289.711  D     23701 100   155  
rcv   19341.834  D     23801 100   155  
snd   19343.084  A     155   0     23901
rcv   19399.979  D     23901 100   155  
snd   19401.786  A     155   0     24001
rcv   19454.892  D     24001 100   155  
snd   19455.584  A     155   0     24101
rcv   19455.797  D     24101 100   155  
snd   19455.960  A     155   0     24201
rcv   19506.106  D     24101 100   155  
rcv   19556.634  D     24201 100   155  
snd   19556.943  A     155   0     24301
rcv   19557.469  D     24301 100   155  
snd   19557.598  A     155   0     24401
rcv   19607.519  D     24301 100   155  
rcv   19658.342  D     24401 100   155  
snd   19658.568  A     155   0     24501
rcv   19658.706  D     24501 100   155  
snd   19658.840  A     155   0     24601
rcv   19709.137  D     24501 100   155  
rcv   19711.099  D     24601 100   155  
snd   19711.333  A     155   0     24701
rcv   19761.203  D     24601 100   155  
rcv   19763.524  D     24701 100   155  
snd   19763.811  A     155   0     24801
rcv   19813.434  D     24701 100   155  
rcv   19864.524  D     24801 100   155  
snd   19864.905  A     155   0     24901
